Fecha,medio,Valor
13/06/2023,Renfe Cercanías,602236
14/06/2023,Metro de Madrid,2168022
14/06/2023,EMT,1556761
14/06/2023,Conc. por carretera,956399
14/06/2023,Renfe Cercanías,609667
15/06/2023,Metro de Madrid,2175841
15/06/2023,EMT,1575064
15/06/2023,Conc. por carretera,950431
15/06/2023,Renfe Cercanías,609768
16/06/2023,Metro de Madrid,2154495
16/06/2023,EMT,1535196
16/06/2023,Conc. por carretera,940947
16/06/2023,Renfe Cercanías,598678
17/06/2023,Metro de Madrid,1449952
17/06/2023,EMT,888342
17/06/2023,Conc. por carretera,491516
17/06/2023,Renfe Cercanías,392097
18/06/2023,Metro de Madrid,1097563
18/06/2023,EMT,644058
18/06/2023,Conc. por carretera,350123
18/06/2023,Renfe Cercanías,292171
19/06/2023,Metro de Madrid,1995085
19/06/2023,EMT,1471013
19/06/2023,Conc. por carretera,887680
19/06/2023,Renfe Cercanías,562766
20/06/2023,Metro de Madrid,2099487
20/06/2023,EMT,1535473
20/06/2023,Conc. por carretera,924168
20/06/2023,Renfe Cercanías,600346
21/06/2023,Metro de Madrid,2132956
21/06/2023,EMT,1529261
21/06/2023,Conc. por carretera,927557
21/06/2023,Renfe Cercanías,601085
22/06/2023,Metro de Madrid,2160838
22/06/2023,EMT,1563040
22/06/2023,Conc. por carretera,959798
22/06/2023,Renfe Cercanías,590440
23/06/2023,Metro de Madrid,2085420
23/06/2023,EMT,1414268
23/06/2023,Conc. por carretera,873730
23/06/2023,Renfe Cercanías,562827
24/06/2023,Metro de Madrid,1350071
24/06/2023,EMT,976015
24/06/2023,Conc. por carretera,471065
24/06/2023,Renfe Cercanías,365621
25/06/2023,Metro de Madrid,1057962
25/06/2023,EMT,731278
25/06/2023,Conc. por carretera,352378
25/06/2023,Renfe Cercanías,296011
26/06/2023,Metro de Madrid,1930376
26/06/2023,EMT,1546683
26/06/2023,Conc. por carretera,862565
26/06/2023,Renfe Cercanías,575473
27/06/2023,Metro de Madrid,1988658
27/06/2023,EMT,1573227
27/06/2023,Conc. por carretera,875623
27/06/2023,Renfe Cercanías,425492
28/06/2023,Metro de Madrid,2059652
28/06/2023,EMT,1586363
28/06/2023,Conc. por carretera,878624
28/06/2023,Renfe Cercanías,594842
29/06/2023,Metro de Madrid,2064761
29/06/2023,EMT,1574993
29/06/2023,Conc. por carretera,880832
29/06/2023,Renfe Cercanías,591593
30/06/2023,Metro de Madrid,2080434
30/06/2023,EMT,1530492
30/06/2023,Conc. por carretera,859141
30/06/2023,Renfe Cercanías,597097
01/07/2023,Metro de Madrid,1492621
01/07/2023,EMT,923760
01/07/2023,Conc. por carretera,471714
01/07/2023,Renfe Cercanías,425798
02/07/2023,Metro de Madrid,1098411
02/07/2023,EMT,716941
02/07/2023,Conc. por carretera,355830
02/07/2023,Renfe Cercanías,302783
03/07/2023,Metro de Madrid,1850898
03/07/2023,EMT,1455768
03/07/2023,Conc. por carretera,816129
03/07/2023,Renfe Cercanías,542514
04/07/2023,Metro de Madrid,1907155
04/07/2023,EMT,1493199
04/07/2023,Conc. por carretera,832576
04/07/2023,Renfe Cercanías,560540
05/07/2023,Metro de Madrid,1937223
05/07/2023,EMT,1481387
05/07/2023,Conc. por carretera,834907
05/07/2023,Renfe Cercanías,566484
06/07/2023,Metro de Madrid,1943537
06/07/2023,EMT,1473156
06/07/2023,Conc. por carretera,824270
06/07/2023,Renfe Cercanías,566976
07/07/2023,Metro de Madrid,1878842
07/07/2023,EMT,1419689
07/07/2023,Conc. por carretera,797336
07/07/2023,Renfe Cercanías,542132
08/07/2023,Metro de Madrid,1268356
08/07/2023,EMT,900409
08/07/2023,Conc. por carretera,443751
